STATION,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGSATRIDER,AVGSUNRIDER,AVGWKND,ANN_RID,Wkdy Rank,Wknd Rank,Annual Rank
Astoria-Ditmars Blvd ,Astoria,Queens,Queens,10425,6195,4601,10796,3234661,97.0,111.0,100.0
Astoria Blvd ,Astoria,Queens,Queens,7526,4570,3466,8036,2350512,142.0,157.0,142.0
30 Av ,Astoria,Queens,Queens,9607,6039,4529,10568,3015519,103.0,116.0,107.0
Broadway ,Astoria,Queens,Queens,8653,5949,4444,10393,2763230,118.0,121.0,122.0
36 Av ,Astoria,Queens,Queens,4677,3024,2261,5285,1475603,214.0,218.0,216.0
39 Av ,Astoria,Queens,Queens,2563,1609,1222,2831,805613,335.0,307.0,332.0
Court St ,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,20372,9289,7312,16601,6066699,32.0,61.0,32.0
Jay St-MetroTech ,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,24204,12274,9941,22215,7343495,24.0,36.0,26.0
Hoyt-Schermerhorn Sts ,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,8428,6586,5486,12072,2795555,126.0,96.0,119.0
DeKalb Av ,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,13759,7907,6408,14315,4272247,65.0,78.0,64.0
Atlantic Av-Barclays Ctr ,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,29183,21902,18172,40074,9583506,19.0,18.0,20.0
Prospect Park ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,6489,4684,4497,9181,2150487,161.0,138.0,154.0
Franklin Av ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10092,7678,6067,13745,3312190,100.0,86.0,98.0
Franklin Av ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3667,2756,2346,5102,1210340,270.0,223.0,256.0
New Utrecht Av ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3765,2417,2055,4472,1201167,266.0,243.0,257.0
4 Av ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,8766,6267,4937,11204,2832325,115.0,103.0,116.0
Broadway Junction ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,4905,4110,3302,7412,1647748,208.0,168.0,196.0
Myrtle-Wyckoff Avs ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,15276,11634,9037,20671,5009020,56.0,40.0,54.0
Lorimer St ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10951,11547,9099,20646,3903034,90.0,41.0,73.0
Coney Island-Stillwell Av ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,9353,8082,6977,15059,3220518,108.0,71.0,101.0
West 8 St-New York Aquarium ,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,1903,1451,1329,2780,640138,367.0,312.0,355.0
Queensboro Plaza ,Queens Transfer,Queens,Queens,10698,8822,6827,15649,3573523,92.0,68.0,88.0
74-Broadway ,Queens Transfer,Queens,Queens,43672,32767,26740,59507,14348691,9.0,8.0,9.0
Court Sq ,Queens Transfer,Queens,Queens,17116,10681,8360,19041,5381184,47.0,46.0,48.0
Sutphin Blvd-Archer Av-JFK Airport ,Queens Transfer,Queens,Queens,19068,10868,8951,19819,5941974,35.0,43.0,34.0
Jamaica Center-Parsons-Archer ,Queens Transfer,Queens,Queens,19529,7911,5839,13750,5715839,33.0,85.0,39.0
nan,,,,3625326,2356528,1880767,4237295,1151998158,,,
